docname,topic,proportion
blog_content_cleaned.csv:77,003,0.398789
blog_content_cleaned.csv:112,001,0.867856
blog_content_cleaned.csv:112,002,0.132144
blog_content_cleaned.csv:147,003,0.342551
blog_content_cleaned.csv:147,005,0.246407
blog_content_cleaned.csv:147,001,0.240294
blog_content_cleaned.csv:147,006,0.170749
blog_content_cleaned.csv:182,001,0.435536
blog_content_cleaned.csv:182,002,0.252702
blog_content_cleaned.csv:182,004,0.248788
blog_content_cleaned.csv:182,000,0.062974
blog_content_cleaned.csv:212,003,0.518327
blog_content_cleaned.csv:212,006,0.481673
blog_content_cleaned.csv:247,003,0.362218
blog_content_cleaned.csv:247,006,0.318708
blog_content_cleaned.csv:247,001,0.220648
blog_content_cleaned.csv:247,004,0.098426
blog_content_cleaned.csv:282,002,0.80661
blog_content_cleaned.csv:282,006,0.104823
blog_content_cleaned.csv:282,004,0.053964
blog_content_cleaned.csv:282,000,0.034603
blog_content_cleaned.csv:317,005,0.705579
blog_content_cleaned.csv:317,003,0.175525
blog_content_cleaned.csv:317,006,0.113688
blog_content_cleaned.csv:317,000,0.005209
blog_content_cleaned.csv:352,001,0.791231
blog_content_cleaned.csv:352,005,0.198406
blog_content_cleaned.csv:352,002,0.010363
blog_content_cleaned.csv:387,004,0.933581
blog_content_cleaned.csv:387,006,0.066419
blog_content_cleaned.csv:3,003,0.526683
blog_content_cleaned.csv:3,005,0.273236
blog_content_cleaned.csv:3,001,0.200082
blog_content_cleaned.csv:38,002,0.708085
blog_content_cleaned.csv:38,006,0.1781
blog_content_cleaned.csv:38,005,0.084275
blog_content_cleaned.csv:38,001,0.02954
blog_content_cleaned.csv:73,004,0.486769
blog_content_cleaned.csv:73,000,0.449446
blog_content_cleaned.csv:73,001,0.063785
blog_content_cleaned.csv:108,001,0.777791
blog_content_cleaned.csv:108,004,0.167224
blog_content_cleaned.csv:108,005,0.054985
blog_content_cleaned.csv:143,001,0.601315
blog_content_cleaned.csv:143,000,0.234792
blog_content_cleaned.csv:143,004,0.163894
blog_content_cleaned.csv:178,002,0.550278
blog_content_cleaned.csv:178,004,0.274935
blog_content_cleaned.csv:178,001,0.174787
blog_content_cleaned.csv:208,002,0.670245
blog_content_cleaned.csv:208,001,0.203629
blog_content_cleaned.csv:208,006,0.126126
blog_content_cleaned.csv:243,000,0.639688
blog_content_cleaned.csv:243,003,0.360312
blog_content_cleaned.csv:278,002,0.99176
blog_content_cleaned.csv:278,000,0.008239
blog_content_cleaned.csv:313,000,0.943955
blog_content_cleaned.csv:313,006,0.056045
blog_content_cleaned.csv:348,006,0.734141
blog_content_cleaned.csv:348,000,0.133478
blog_content_cleaned.csv:348,005,0.132381
blog_content_cleaned.csv:383,001,0.717043
blog_content_cleaned.csv:383,004,0.170699
blog_content_cleaned.csv:383,000,0.112258
blog_content_cleaned.csv:24,006,0.882091
blog_content_cleaned.csv:24,005,0.072729
blog_content_cleaned.csv:24,000,0.045179
blog_content_cleaned.csv:59,001,0.849788
